"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"clipper:Observation_Information:1       ","Class","Observation_Information","1.0.0.0","clipper","The Observation_Information class provides information about a science observation.","img","","","","","","","","","","",""
"clipper:Observation_Information:2        clipper:mission_phase_name:1            ","Attribute","mission_phase_name","n/a","clipper","The mission_phase_name identifies a time period within the mission.","img","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"clipper:Observation_Information:2        clipper:mission_phase_name:2             Value:Capture Orbit","Value","Capture Orbit","","","TBD"
"clipper:Observation_Information:2        clipper:mission_phase_name:2             Value:Inner Cruise 1","Value","Inner Cruise 1","","","TBD"
"clipper:Observation_Information:2        clipper:mission_phase_name:2             Value:Jupiter Approach","Value","Jupiter Approach","","","TBD"
"clipper:Observation_Information:2        clipper:mission_phase_name:2             Value:Orbits 1-2","Value","Orbits 1-2","","","TBD"
"clipper:Observation_Information:2        clipper:mission_phase_name:2             Value:Outer Cruise","Value","Outer Cruise","","","TBD"
"clipper:Observation_Information:2        clipper:mission_phase_name:2             Value:Period Reduction Man","Value","Period Reduction Maneuver","","","TBD"
"clipper:Observation_Information:2        clipper:mission_phase_name:2             Value:Quiet Cruise","Value","Quiet Cruise","","","TBD"
"clipper:Observation_Information:2        clipper:mission_phase_name:2             Value:Science Orbits","Value","Science Orbits","","","TBD"
"clipper:Observation_Information:2        clipper:orbit_number:1                  ","Attribute","orbit_number","n/a","clipper","The orbit_number attribute identifies the number of the orbital revolution of the spacecraft around a target body. This value can optionally be set to 0 for cruise images or not set at all.","img","ASCII_Integer","0","1","0","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"clipper:Observation_Information:2        clipper:product_type:1                  ","Attribute","product_type","n/a","clipper","_TBD","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"clipper:Observation_Information:2        clipper:product_type:2                   Value:CDR","Value","CDR","","","Calibrated Data Record"
