"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"clipper:Observation_Information:1       ","Class","Observation_Information","1.0.0.0","clipper","The Observation_Information class provides information about a science observation.","img","","","","","","","","","","",""
"clipper:Observation_Information:2        clipper:mission_phase_name:1            ","Attribute","mission_phase_name","n/a","clipper","The mission_phase_name identifies a time period within the mission.","img","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"clipper:Observation_Information:2        clipper:mission_phase_name:2             Value:Arrival","Value","Arrival","","","This phase starts three months prior to JOI and includes two sub-phases: Jupiter Approach and Jupiter Orbit Capture. Activities include navigation maneuvers to achieve Jupiter orbit capture. "
"clipper:Observation_Information:2        clipper:mission_phase_name:2             Value:Disposal","Value","Disposal","","","This phase starts 30 days after the last targeted closest approach of Europa. Activities include preparation for impact with Jupiter. "
"clipper:Observation_Information:2        clipper:mission_phase_name:2             Value:Interplanetary Cruis","Value","Interplanetary Cruise","","","This phase starts one day after launch and includes two sub-phases: Inner Cruise and Outer Cruise. Activity includes flight system characterization and navigating to the Mars and Earth gravity assists along with periodic maintenance, calibrations, and navigation activities. "
"clipper:Observation_Information:2        clipper:mission_phase_name:2             Value:Launch","Value","Launch","","","This phase includes include launch, initial acquisition, solar array deployment, establishment of power-positive attitude, and re-establishing telemetry. "
"clipper:Observation_Information:2        clipper:mission_phase_name:2             Value:Tour","Value","Tour","","","This phase starts eight hours after perijove and includes four sub-phases: Transition to Europa Campaign 1, Europa Campaign 1, Transition to Europa Campaign 2 and Europa Campaign 2. Activities include positioning for and execution of close flybys of Europa, Ganymede and Callisto. "
"clipper:Observation_Information:2        clipper:orbit_number:1                  ","Attribute","orbit_number","n/a","clipper","The orbit_number attribute identifies the number of the orbital revolution of the spacecraft around Jupiter. Prior to JOI (i.e., from launch through cruise including gravity assists), the orbit value will be 0. After JOI, starting with the first apojove, the value will increase by 1 with each revolution around Jupiter incrementing at each subsequent apojove. ","img","ASCII_Integer","0","1","0","511","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"clipper:Observation_Information:2        clipper:encounter_id:1                  ","Attribute","encounter_id","n/a","clipper","The Playback and Flyby periods together comprise an Encounter, defined as the period of time during the Tour beginning two days before the targeted closest approach of a Jovian moon, and ending two days before the next targeted closest approach of a Jovian moon. While most Jupiter orbits include a targeted flyby, there are some phasing orbits without a targeted flyby; in these cases, an encounter will span more than one orbit. Valid values consist of a three-character identifier (e.g., EO1, G02, etc.) where ""E01"" indicates the first encounter with Europa and ""G02"" indicates the second encounter with Ganymede and so on. There is one more additional special value of ""XXX"" representing data collected during cruise up until the first encounter. ","img","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","3","3","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"clipper:Observation_Information:2        clipper:aid:1                           ","Attribute","aid","n/a","clipper","A hexadecimal representation of the Accountability Identifier (AID) which serves as a globally unique identifier across all instruments and mission phases for an observational activity onboard the spacecraft. Data tagged with a given AID is collected into an Accountable Data Product (ADP) on the ground and will result in one or more associated PDS data products in the archive. The AID is a 32-bit unsigned integer which contains three fields: Instrument ID (4-bits), Orbit Number (9-bits) and Data Acquisition ID (19-bits). The hexadecimal string value is prefixed with “0x”.","img","ASCII_Short_String_Collapsed","0","*","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
